0	1	1	1	1	0	0	0	0	0	.	0.001	0	0.068	0	0.931	5
1	1	1	1	1	1	1	1	1	1	42.81	0	0.986	0	0.006	0.008	2
0	0	0	0	0	1	0	0	0	0	40.32	0.099	0	0.899	0	0.002	3
1	1	1	1	1	1	1	1	1	1	48.16	0	0.986	0	0.006	0.008	2
0	0	1	1	1	1	0	1	1	1	62.46	0.709	0.172	0.001	0.001	0.116	1
0	0	0	0	1	1	1	1	0	0	45.16	0.989	0	0.007	0	0.004	1
0	0	0	1	1	1	1	0	0	1	46.55	0.764	0.001	0.145	0	0.091	1
1	1	1	1	1	1	1	0	1	0	55.03	0.001	0.858	0	0.01	0.13	2
1	1	1	.	0	1	1	1	1	0	44.05	0.005	0.153	0	0.831	0.011	4
1	1	1	0	0	1	1	1	1	0	45.06	0.004	0.027	0	0.964	0.004	4
0	1	1	1	1	1	1	1	1	1	63.23	0.015	0.956	0	0.004	0.025	2
0	0	0	1	1	1	0	1	1	1	44.98	0.974	0.008	0.003	0	0.014	1
1	0	1	0	1	1	0	1	1	1	52.23	0.445	0.273	0.001	0.132	0.15	1
1	0	1	0	1	1	1	1	1	0	.	0.274	0.48	0	0.22	0.026	2
1	1	1	1	1	1	1	1	1	1	59.21	0	0.986	0	0.006	0.008	2
0	0	0	0	0	0	0	0	0	0	53.06	0.004	0	0.996	0	0.001	3
0	1	1	1	1	1	1	1	1	0	.	0.015	0.956	0	0.004	0.025	2
0	0	1	1	1	1	0	1	0	0	.	0.488	0.02	0.032	0	0.46	1
