     1.000 1 0 0 0 1 0 0 1 1      0.768      0.004      0.071      0.010      0.147    1
     1.000 0 0 0 1 1 0 0 * 1      0.544      0.001      0.369      0.000      0.086    1
     1.000 0 0 0 1 0 0 1 1 0      0.777      0.000      0.188      0.000      0.034    1
     1.000 0 0 0 0 1 1 1 1 *      0.994      0.001      0.002      0.001      0.001    1
     1.000 0 1 0 0 1 1 1 1 0      0.824      0.021      0.007      0.019      0.128    1
     1.000 0 * 0 0 1 1 1 1 1      0.968      0.019      0.000      0.009      0.004    1
     1.000 0 1 0 0 1 1 1 1 1      0.807      0.117      0.000      0.054      0.022    1
     1.000 0 0 1 0 0 1 0 1 0      0.847      0.000      0.102      0.009      0.041    1
     1.000 0 0 1 0 * 0 1 1 1      0.937      0.006      0.003      0.023      0.032    1
     1.000 0 1 0 0 0 0 1 1 0      0.571      0.000      0.225      0.037      0.168    1
     1.000 0 1 0 1 0 1 0 1 1      0.802      0.024      0.006      0.041      0.128    1
     1.000 1 0 0 1 1 0 1 1 1      0.649      0.145      0.002      0.008      0.196    1
     1.000 0 0 1 0 0 0 * 1 1      0.915      0.000      0.028      0.030      0.026    1
     1.000 0 0 0 0 1 * 1 1 1      0.995      0.001      0.001      0.001      0.002    1
     1.000 1 0 * * * * * * *      0.258      0.243      0.122      0.139      0.238    1
     1.000 0 1 0 1 1 1 1 0 1      0.418      0.247      0.003      0.006      0.327    1
     1.000 0 1 0 1 1 1 0 1 1      0.429      0.331      0.002      0.004      0.234    1
     1.000 0 0 0 0 1 1 1 0 0      0.798      0.000      0.185      0.000      0.017    1
     1.000 0 1 0 1 0 1 0 0 1      0.477      0.004      0.119      0.013      0.388    1
     1.000 1 0 0 1 0 1 1 0 0      0.611      0.001      0.128      0.017      0.243    1
     1.000 0 1 0 0 * 1 1 0 1      0.808      0.016      0.008      0.096      0.072    1
     1.000 0 1 0 0 0 1 0 1 1      0.850      0.002      0.008      0.117      0.024    1
     1.000 0 0 1 1 0 1 1 1 1      0.933      0.025      0.000      0.029      0.012    1
     1.000 0 0 0 1 0 1 1 0 1      0.985      0.000      0.007      0.001      0.006    1
     1.000 0 0 0 * 0 1 0 1 1      0.990      0.000      0.006      0.002      0.002    1
     1.000 0 0 0 1 1 1 1 0 0      0.764      0.001      0.145      0.000      0.091    1
     1.000 0 0 0 0 1 0 * * 1      0.766      0.000      0.223      0.000      0.011    1
     1.000 0 0 0 0 0 * 1 1 1      0.991      0.000      0.002      0.007      0.000    1
     1.000 1 0 0 1 1 1 0 0 1      0.493      0.041      0.044      0.003      0.419    1
     1.000 0 0 * 0 1 1 1 1 1      0.971      0.019      0.000      0.007      0.004    1
     1.000 1 0 0 1 * * 1 0 *      0.471      0.039      0.144      0.017      0.329    1
     1.000 0 0 1 0 0 1 0 * 0      0.533      0.000      0.418      0.005      0.044    1
     1.000 0 1 0 0 0 1 1 0 1      0.798      0.001      0.009      0.159      0.032    1
     1.000 0 0 1 1 1 0 1 * 1      0.600      0.091      0.007      0.002      0.299    1
     1.000 0 0 1 0 0 0 0 1 1      0.863      0.000      0.076      0.013      0.048    1
     1.000 0 0 0 0 1 1 * * 1      0.986      0.001      0.010      0.001      0.002    1
     1.000 1 0 0 1 1 * 1 1 1      0.533      0.399      0.000      0.012      0.055    1
     1.000 0 0 1 0 0 1 1 * *      0.922      0.001      0.007      0.062      0.008    1
     1.000 0 0 0 0 1 1 0 0 1      0.859      0.000      0.130      0.000      0.011    1
     1.000 1 0 1 1 0 0 1 1 1      0.327      0.082      0.001      0.265      0.325    1
     1.000 0 0 1 * 1 1 1 1 1      0.785      0.190      0.000      0.010      0.015    1
     1.000 1 0 0 0 0 1 0 1 1      0.862      0.001      0.004      0.126      0.007    1
     1.000 0 0 * 0 0 1 1 1 1      0.961      0.001      0.000      0.037      0.001    1
     1.000 0 1 0 0 1 0 1 0 1      0.465      0.005      0.105      0.008      0.418    1
     1.000 1 0 0 * 0 0 1 0 1      0.688      0.001      0.122      0.058      0.132    1
     1.000 0 0 1 0 0 1 1 0 0      0.802      0.000      0.129      0.013      0.056    1
     1.000 0 0 1 0 1 1 1 * *      0.928      0.030      0.005      0.011      0.026    1
     1.000 1 0 1 0 1 0 1 1 1      0.410      0.179      0.001      0.160      0.250    1
     1.000 0 0 0 0 0 1 * 1 1      0.991      0.000      0.002      0.006      0.000    1
     1.000 0 0 0 0 1 1 * 1 1      0.995      0.001      0.002      0.001      0.001    1
     1.000 1 0 0 0 1 1 0 1 1      0.926      0.019      0.003      0.024      0.027    1
     1.000 0 0 1 0 1 0 * 1 1      0.883      0.008      0.018      0.005      0.086    1
     1.000 0 0 0 0 1 0 1 0 1      0.837      0.000      0.143      0.000      0.020    1
     1.000 0 1 0 0 0 0 1 1 1      0.804      0.001      0.008      0.146      0.041    1
     1.000 * 0 0 1 1 0 1 0 1      0.649      0.008      0.086      0.001      0.256    1
     1.000 1 0 1 0 1 1 1 0 1      0.420      0.197      0.001      0.181      0.202    1
     1.000 0 0 0 0 * 1 1 1 0      0.987      0.000      0.008      0.002      0.003    1
     1.000 0 1 0 1 0 1 1 1 0      0.752      0.011      0.008      0.037      0.192    1
     1.000 0 1 0 1 1 1 1 1 0      0.441      0.166      0.003      0.004      0.386    1
   502.000 1 1 1 1 1 1 1 1 1      0.000      0.986      0.000      0.006      0.008    2
    94.000 1 1 1 0 1 1 1 1 1      0.005      0.788      0.000      0.191      0.017    2
    76.000 1 1 1 1 1 1 0 1 1      0.001      0.918      0.000      0.006      0.075    2
    47.000 0 1 1 1 1 1 1 1 1      0.015      0.956      0.000      0.004      0.025    2
    36.000 1 1 1 1 0 1 1 1 1      0.005      0.516      0.000      0.447      0.031    2
    35.000 1 1 1 1 1 0 1 1 1      0.001      0.819      0.000      0.009      0.170    2
    30.000 1 0 1 1 1 1 1 1 1      0.035      0.936      0.000      0.010      0.019    2
    28.000 1 1 1 1 1 1 1 0 1      0.001      0.858      0.000      0.010      0.130    2
    27.000 1 1 1 1 1 1 1 1 0      0.002      0.780      0.000      0.009      0.208    2
    22.000 1 1 0 1 1 1 1 1 1      0.011      0.954      0.000      0.015      0.020    2
