CASENUM,COHORT,RSTEMM,EMTHIRT,FEMALE,CB28A,CB28B,CB28C,CB28E,CB28G,CB28H,CB28I,CB28K,CB28L
1223,2,1,-98,1,-95,-95,-95,-95,-95,-95,-95,-95,-95
1224,1,0,-95,1,-95,-95,-95,-95,-95,-95,-95,-95,-95
1225,2,0,72.07,0,3,2,1,4,4,2,3,2,2
1226,1,0,-95,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
1227,2,-95,36.29,0,2,2,2,3,2,2,2,2,2
1228,2,-95,-98,1,5,5,5,2,3,1,4,1,2
1229,2,0,71.84,1,4,4,2,4,2,2,3,3,2
1230,1,0,-95,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
1231,2,-95,-96,0,1,1,1,3,3,3,3,3,2
1232,2,0,83.73,0,1,1,1,3,4,1,1,1,1
1233,2,0,73.84,0,1,2,2,4,5,3,4,2,3
1234,2,-95,67.43,0,4,2,2,2,4,2,2,1,1
1235,2,-95,56.72,0,2,2,2,2,2,2,1,2,1
1236,2,-95,65.17,0,2,2,2,4,4,3,2,2,3
1237,1,0,-95,1,-95,-95,-95,-95,-95,-95,-95,-95,-95
1238,2,0,-98,1,1,2,2,4,4,3,2,1,2
1239,1,-95,-95,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
1240,1,0,-95,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
1241,1,-95,-95,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
1242,2,0,57.25,1,2,2,2,4,4,2,3,3,3
1243,1,-95,-95,1,-95,-95,-95,-95,-95,-95,-95,-95,-95
1244,2,0,57.95,0,2,2,2,5,5,1,1,1,1
1245,2,0,42.47,0,4,4,5,2,3,1,2,1,2
1246,1,-95,-95,1,-95,-95,-95,-95,-95,-95,-95,-95,-95
1247,2,0,59.66,1,2,1,1,4,5,2,3,2,2
1248,1,0,-95,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
1249,1,0,-95,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
1250,2,0,42.83,1,2,4,2,4,4,1,2,2,2
1251,1,0,-95,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
1252,2,0,-98,1,-95,-95,-95,-95,-95,-95,-95,-95,-95
1253,2,-95,-98,1,2,2,2,4,4,2,2,2,2
1254,2,-95,60.86,0,5,5,5,5,5,5,5,5,2
1255,1,0,-95,1,-95,-95,-95,-95,-95,-95,-95,-95,-95
1256,2,0,72.8,1,3,4,3,2,4,3,3,2,3
1257,2,0,-96,0,2,2,2,5,5,1,2,2,3
1258,1,-95,-95,1,-95,-95,-95,-95,-95,-95,-95,-95,-95
1259,2,-95,-98,0,1,1,1,5,5,2,2,2,2
1260,2,0,36.38,1,4,4,2,4,4,4,1,1,1
1261,2,0,62.18,1,4,4,3,2,2,3,3,3,3
1262,1,1,-95,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
1263,1,-95,-95,1,-95,-95,-95,-95,-95,-95,-95,-95,-95
1264,1,-95,-95,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
1265,1,-95,-95,1,-95,-95,-95,-95,-95,-95,-95,-95,-95
1266,2,-95,60.53,0,1,2,1,4,5,1,1,1,1
1267,1,1,-95,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
1268,2,-95,-98,0,3,3,3,3,3,3,3,3,3
1269,1,0,-95,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
1270,2,-95,-98,0,4,3,2,3,3,2,2,3,3
1271,1,0,-95,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
1272,1,0,-95,1,-95,-95,-95,-95,-95,-95,-95,-95,-95
1273,1,-95,-95,1,-95,-95,-95,-95,-95,-95,-95,-95,-95
1274,2,0,-98,1,4,2,2,2,2,3,2,2,2
1275,1,0,-95,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
1276,1,0,-95,1,-95,-95,-95,-95,-95,-95,-95,-95,-95
1277,1,-95,-95,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
1278,1,0,-95,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
1279,1,-95,-95,1,-95,-95,-95,-95,-95,-95,-95,-95,-95
1280,1,0,-95,0,-95,-95,-95,-95,-95,-95,-95,-95,-95
